epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1611.45,0.70604,1.1648,0.77205,0.97711,0.50789,0.7627,0.59224,0.49774,0.51242,0.77027,0.59616,0.4762,0.63184,1.06427,0.78837,0.94026,0.000267436,0.000267436,0.000267436
30,1666.97,0.70472,1.15766,0.75937,0.97783,0.60557,0.82034,0.69172,0.57241,0.60957,0.82509,0.69663,0.55938,0.63235,1.04798,0.59078,0.9436,0.000263773,0.000263773,0.000263773
31,1722.01,0.7003,1.16865,0.75597,0.9758,0.61014,0.79794,0.68912,0.57348,0.61022,0.80117,0.69174,0.54808,0.62495,1.04238,0.57715,0.935,0.00026011,0.00026011,0.00026011
32,1777.08,0.69293,1.14937,0.73815,0.9742,0.56294,0.79801,0.66066,0.55771,0.56542,0.80135,0.66535,0.53816,0.62324,1.03772,0.64748,0.93684,0.000256447,0.000256447,0.000256447
33,1832.17,0.6939,1.13583,0.73716,0.96646,0.56307,0.80281,0.64253,0.54049,0.56298,0.80319,0.64791,0.52256,0.62261,1.03735,0.64111,0.93364,0.000252784,0.000252784,0.000252784
34,1887.09,0.69409,1.15648,0.74302,0.97345,0.57028,0.79218,0.66072,0.54861,0.57906,0.78886,0.66928,0.53249,0.6203,1.04111,0.60437,0.93313,0.000249121,0.000249121,0.000249121
35,1942.4,0.69225,1.1481,0.72983,0.97092,0.59126,0.81446,0.67073,0.55827,0.59826,0.82716,0.68375,0.54054,0.6213,1.05715,0.58842,0.93413,0.000245458,0.000245458,0.000245458
36,1997.47,0.68754,1.13001,0.7212,0.96992,0.59842,0.83163,0.68512,0.57182,0.59978,0.82866,0.69183,0.55269,0.62282,1.02245,0.58453,0.93313,0.000241795,0.000241795,0.000241795
37,2052.53,0.68098,1.12078,0.71201,0.96622,0.59795,0.81343,0.69185,0.58334,0.60491,0.81962,0.70187,0.56325,0.61388,0.99153,0.55337,0.92898,0.000238132,0.000238132,0.000238132
38,2107.83,0.68066,1.11935,0.71209,0.96645,0.56931,0.79645,0.65175,0.54773,0.57072,0.7944,0.65278,0.53044,0.62222,1.01078,0.61316,0.92877,0.000234469,0.000234469,0.000234469
39,2163.28,0.67321,1.10159,0.70434,0.96341,0.54866,0.8054,0.64071,0.53767,0.5513,0.80321,0.64302,0.51871,0.62459,1.03834,0.62845,0.93313,0.000230806,0.000230806,0.000230806
40,2218.76,0.67357,1.10446,0.70362,0.96464,0.59136,0.82913,0.65844,0.55101,0.59887,0.84229,0.67794,0.53918,0.61566,0.99489,0.58151,0.93268,0.000227143,0.000227143,0.000227143
41,2274.13,0.66129,1.0858,0.69342,0.95758,0.58257,0.83716,0.68819,0.57307,0.58366,0.84225,0.69447,0.55203,0.61504,1.01942,0.58347,0.932,0.00022348,0.00022348,0.00022348
42,2329.27,0.66115,1.09071,0.68278,0.95856,0.57951,0.83045,0.67054,0.56096,0.58681,0.84211,0.68042,0.54665,0.60912,1.006,0.58096,0.92704,0.000219817,0.000219817,0.000219817
43,2384.73,0.66433,1.09213,0.68498,0.95856,0.5976,0.8336,0.67552,0.56877,0.59422,0.8246,0.67922,0.54902,0.60733,1.01388,0.5685,0.92446,0.000216154,0.000216154,0.000216154
44,2439.8,0.65811,1.08092,0.6778,0.95335,0.60584,0.82754,0.69091,0.58226,0.60837,0.83098,0.69661,0.56087,0.6153,1.02559,0.5564,0.93139,0.000212491,0.000212491,0.000212491
45,2495.35,0.65904,1.07849,0.66559,0.95738,0.60271,0.81527,0.68003,0.57692,0.60578,0.8167,0.68985,0.55689,0.60728,1.0008,0.59548,0.92552,0.000208828,0.000208828,0.000208828
